index,PClass,Sex,Age,Survived
1213,3rd,female,,0
1214,3rd,female,,0
1215,3rd,male,,0
1216,3rd,female,,0
1217,3rd,male,,0
1218,3rd,male,,0
1219,3rd,male,,0
1220,3rd,female,,1
1221,3rd,female,,0
1222,3rd,male,,0
1223,3rd,male,,1
1224,3rd,male,,0
1225,3rd,male,,0
1226,3rd,male,,0
1227,3rd,female,,1
1228,3rd,male,,0
1229,3rd,male,,0
1230,3rd,male,,0
1231,3rd,female,,0
1232,3rd,male,,1
1233,3rd,male,,0
1234,3rd,female,,0
1235,3rd,female,,0
1236,3rd,male,,1
1237,3rd,male,,0
1238,3rd,male,,0
1239,3rd,male,,0
1240,3rd,male,,1
1241,3rd,male,,0
1242,3rd,male,,0
1243,3rd,male,,1
1244,3rd,male,,0
1245,3rd,female,,1
1246,3rd,male,,0
1247,3rd,male,,0
1248,3rd,male,,0
1249,3rd,male,,0
1250,3rd,male,,0
1251,3rd,male,,0
1252,3rd,female,,1
1253,3rd,male,,0
1254,3rd,male,,0
1255,3rd,male,,0
1256,3rd,male,,0
1257,3rd,male,,0
1258,3rd,male,,0
1259,3rd,male,25,1
1260,3rd,female,,0
1261,3rd,male,,0
1262,3rd,female,,0
1263,3rd,male,,0
1264,3rd,female,18,1
1265,3rd,female,63,1
1266,3rd,male,,0
1267,3rd,male,,0
1268,3rd,male,,0
1269,3rd,male,,0
1270,3rd,female,18,0
1271,3rd,male,31,0
1272,3rd,female,31,0
1273,3rd,male,15,0
1274,3rd,male,28,0
1275,3rd,male,36,0
1276,3rd,male,28,0
1277,3rd,female,10,0
1278,3rd,male,36,0
1279,3rd,female,30,0
1280,3rd,male,22,1
1281,3rd,male,,0
1282,3rd,male,29,0
1283,3rd,male,47,0
1284,3rd,female,14,0
1285,3rd,male,22,0
1286,3rd,male,,0
1287,3rd,male,,0
1288,3rd,male,,0
1289,3rd,male,,0
1290,3rd,male,,1
1291,3rd,male,,0
1292,3rd,male,51,0
1293,3rd,male,18,0
1294,3rd,female,45,1
1295,3rd,male,,0
1296,3rd,male,,0
1297,3rd,male,,0
1298,3rd,male,28,0
1299,3rd,male,21,0
1300,3rd,male,27,0
1301,3rd,male,,0
1302,3rd,male,36,0
1303,3rd,male,,1
1304,3rd,male,27,0
1305,3rd,female,15,1
1306,3rd,male,,0
1307,3rd,female,,0
1308,3rd,female,,0
1309,3rd,male,27,0
1310,3rd,male,26,0
1311,3rd,male,22,0
1312,3rd,male,24,0
1313,3rd,male,29,0
